"Episode Name","Episode Number","Synopsis"
"Hippocratic Oath","S04E04","On a remote planet O'Brien and Dr. Bashir are captured by a group of Jem'Hadar led by Goran'Agar. Their life is spared because Goran'Agar, who has become immune to the effects of the drug Ketracel white, wants Bashir to develop a cure for his soldiers. While O'Brien is secretly working on their escape, Bashir commits himself to helping the Jem'Hadar to free themselves of the tyranny of the Dominion. O'Brien, who disagrees with helping soldiers who are bred to kill, escapes without the doctor. When he returns and Bashir refuses to come with him, O'Brien destroys the doctor's research. Goran'Agar allows them to leave, determined to kill his men who are running out of Ketracel white or be killed by them, rather than letting them suffer."
"Indiscretion","S04E05","Kira Nerys retrieves information where to find the Ravinok, a Cardassian transport carrying Bajoran prisoners that vanished six years ago. She reluctantly agrees when Cardassian Legate Dukat demands to join her. They take a runabout to the Dozaria system where they actually find the wreck of the Ravinok and evidence that some of the passengers could still be alive. Dukat reveals to Kira that he has come to seek his half-Bajoran daughter Tora Ziyal, only to kill her because her existence would disgrace the high-ranking Cardassian government official. They actually find Ziyal and a few more prisoners in a labor camp run by the Breen. After disabling the Breen, Dukat points his weapon at Ziyal and Kira takes aim at Dukat - but overwhelmed by his feelings he doesn't shoot. He decides to take his daughter with him even though it would likely cost him his position."
"Rejoined","S04E06","Jadzia Dax works on a project to create an artificial wormhole together with a team of Trill scientists, among them Lenara Kahn whose former host was married to Torias Dax. It is strictly forbidden for Trill symbionts to engage in a second relationship with new hosts, in which case the symbiont would be exiled and condemned to die after the death of the current host. While working on the project, Kahn and Dax can no longer deny their mutual affection. They share a passionate kiss. When the wormhole collapses, leading to an almost fatal accident in the engine room of the Defiant, they recognize that they would never want to be without one another. But Lenara ultimately decides against the relationship and in favor of her people's regulations and traditions."
"Starship Down","S04E07","The Defiant meets with a Karemma vessel for trade negotiations when two Jem'Hadar fighters attack. The Karemma ship hides in a gas giant. When the Defiant follows them, the Jem'Hadar attack again and cripple the Starfleet vessel. While Jadzia and Bashir are trapped on a deck filling with poisonous gas, O'Brien and his engineers manage to arm an atmospheric probe with a quantum torpedo charge. The Defiant is once again taking heavy damage until the attacking vessel can be destroyed. Sisko is seriously wounded, with only Kira taking care of him, while Worf is making his way down to engineering. Quark and the Karemma Hanok are in the mess hall when another torpedo penetrates the wall but doesn't go off. While the crew are working to destroy the remaining Jem'Hadar vessel using a decoy and the deflector as a phaser array, the two successfully disarm the weapon."
"Little Green Men","S04E08","On a vessel that Quark received as a gift from cousin Gaila, Quark, Rom and Nog are en route to Earth where Nog is going to join Starfleet Academy. However, Gaila has sabotaged the shuttle. There is no other way to disengage the warp drive but to heat up Quark's illegal kemocite shipment with warp plasma. This reaction hurls back the shuttle to the year 1947, and it crashes at a place called Roswell. The US Military captures and interrogates the three ""Martians"". While Quark is trying to make profit dealing with the ""primitive"" humans, Nog tells them exactly what they want to hear - that an alien invasion fleet is on the way. With the help of Odo, who has been disguised as a dog, the three manage to retrieve their shuttle from Hangar 18 and escape from the facility, taking advantage of a nuclear blast to return to their time."
"The Sword of Kahless","S04E09","Worf and Jadzia join the famed old warrior Kor on the quest for the Sword of Kahless, the first bat'leth forged by the founder of the Klingon culture. The artifact that was stolen from the Klingon homeworld by the Hur'q centuries ago. All they find is an empty treasury chamber devoid of artifacts. But Jadzia and Worf are not willing to give up, and the three finally discover the sword in yet another chamber. However, Toral, Son of Duras, is already awaiting the three. Kor, Worf and Jadzia prevail, but Worf is wounded. When they are on the way back to the surface, a struggle between Worf and Kor ensues. After defeating Toral once again, the two Klingons face off in a battle for the bat'leth, on the verge of killing each other. Jadzia has to stun them. Later, aboard the runabout, the three decide to beam the bat'leth into space so it can't do any more damage."
"Our Man Bashir","S04E10","Bashir, Julian Bashir has invited Garak to play a secret agent program in the holosuite, when an emergency beam-out forces Commander Eddington to store the patterns of Sisko, Kira, Dax, Worf and O'Brien all over the station. Some of Bashir's holodeck characters take on the appearances of his fellow officers. Kira is now a Russian agent, O'Brien appears as a thug named Falcon, Worf aka Duchamps assists the villainous Dr. Noah, Dax plays the missing scientist Honey Bare, while Sisko is Dr. Noah himself. With the safety protocols offline and no chance to end the program without killing the crewmates, Bashir and Garak have to carry on playing. It is Noah's plan to shrink Earth's surface using laser cannons developed by Honey Bare. With everyone else drowning as the oceans flood the planet, Noah is going to build a new civilization on top of the Mount Everest. While Rom is working on the holodeck, Dr. Bashir gains the decisive seconds when he, to everyone's surprise, activates Dr. Noah's devilish system and destroys the planet. Sisko, Kira, Dax, Worf and O'Brien can be rematerialized on the transporter pad of the Defiant."
"Homefront / Paradise Lost","S04E11-12","When evidence is discovered that a bomb explosion at a conference between the Federation and the Romulans has been caused by a Changeling, Sisko and Odo are summoned to Earth. President Jaresh-Inyo is reluctant to agree to more security measures against the Dominion threat when Odo impressively demonstrates how easy it would be for one of his people to infiltrate the President's office. Odo and Sisko meet with Commander Benteen and Admiral Leyton. Some time later, Odo uncovers the admiral as another Changeling. Meanwhile, Captain Sisko's father Joseph has been arrested for refusing the blood screening which, in his view, is useless to actually recognize Changelings. The following night all power systems on Earth go offline. Sisko and Leyton urge Jaresh-Inyo to declare a state of emergency on the planet. Sisko, however, discovers that not the Dominion but members of Starfleet Academy's Red Squad are responsible for the sabotage. They acted on Leyton's order in an attempt to overthrow the government. Leyton relieves Sisko of duty when the captain refuses to take part in the plot. Sisko manages to inform Deep Space 9 before a feigned blood test in front of the president exposes him as a Changeling. Leyton sends the Lakota under Benteen's command to intercept the Defiant, claiming that the ship is full of Changelings. But Benteen rejects the order to destroy a Starfleet vessel. When Leyton, who has been deserted by his most loyal officer, gives up, order on Earth is restored."
"Crossfire","S04E13","Prime Minister Shakaar is visiting the station to negotiate Bajor's admission to the Federation. Odo has received notice that ""The True Way"", a Cardassian terrorist group, is planning to assassinate Shakaar, and he is accordingly cautious. But soon Odo, who is secretly in love with Kira, notices that Shakaar is falling in love with her. In his jealous negligence Odo forgets to verify a security code upon which the sabotaged turbolift with Shakaar, Kira and himself almost crashes down. While Worf succeeds in apprehending the saboteur, Odo spends the whole night waiting in front of Kira's quarters where Shakaar stays until the morning. Odo decides to call off the weekly meetings with Kira and to care about nothing else but his job from now."
"Return to Grace","S04E14","When she is going to visit a Cardassian outpost, Kira is surprised that she will travel on Dukat's ship Groumall. He was demoted to a freighter captain when he brought his half-Bajoran daughter, Tora Ziyal, to Cardassia. After the outpost has been destroyed by a Klingon Bird-of-Prey, Kira joins Dukat in an effort to outfit the freighter with improved tactical systems. In the hopes of redeeming himself, Kira and Dukat lure the Bird-of-Prey into a trap, making the crew of the warship believe that the freighter holds a valuable cargo of dilithium and then firing the newly installed disruptor. After seizing control of the Klingon ship, Kira transports the Klingon crew to the Groumall, whereupon Dukat destroys it. When he learns that the Cardassian Detapa Council intends to negotiate with the Klingons, Dukat decides to continue the fight against the enemy alone. Kira does not want to join his quest and takes Tora Ziyal to Deep Space 9."
"Sons of Mogh","S04E15","Worf's brother Kurn arrives at the station. Disgraced because of Worf's refusal to follow Gowron, Kurn demands that his brother kill him in the Mauk-to'Vor ritual. Worf complies, but thanks to Dax's and Odo's interference Kurn can be revived. In order to give his life a new meaning, Kurn joins Odo's security team. But soon he attempts to get killed while on duty. In the meantime Klingon ships are engaged in exercises around the Bajoran system. Worf finds out that the Klingon ships are deploying mines to cut off Bajor from the Federation. In genetic disguise he and Kurn steal the plans from a Klingon vessel. Worf decides to save his brother by giving him a new identity. With Kurn's features altered once again and his memory erased, he joins a new Klingon family."
"Bar Association","S04E16","When Rom collapses while working in his brother's bar and is taken to the infirmary, Dr. Bashir suggests that he found a union to enforce higher salaries and sick leave. When Quark refuses to comply with the demands, the staff of his bar, led by Rom, form a union and go on strike. Liquidator Brunt from the FCA arrives to end the strike by any means necessary. After Brunt's Nausicaan thugs have beaten up the bar owner as an example, Quark secretly agrees to his brother's demands as long as Brunt has no knowledge of it. Rom, however, quits his job and begins to work as a technician on the station."
"Accession","S04E17","An old Bajoran lightship emerges from the wormhole. It carries the poet Akorem Laan who encountered the Prophets 200 years ago and hence believes to be the true Emissary. Sisko, who was never happy with his role as a religious icon, agrees with Akorem's claim. But soon Akorem announces the restoration of the old Bajoran d'jarras, a caste system. This would preclude Bajor's membership in the Federation, but even Kira Nerys complies when she announces that she would become an artist like her forefathers. When a murder occurs on the promenade deck because of the new fanaticism, Sisko decides to force a decision. He flies into the wormhole with Akorem Laan and consults the Prophets. They tell him that Akorem's presence was just a test for the true Emissary. Akorem Laan is sent back without a memory of the events."
"Rules of Engagement","S04E18","Worf is on trial for destroying an unarmed transport vessel while in command of the Defiant, fighting against Klingon warships. The Klingon advocate Ch'Pok accuses Worf of acting ruthlessly only to demonstrate that he is still a true Klingon. Worf's crewmates try their best to speak in his favor, but when Worf angrily attacks Ch'Pok who provokes him, the advocate's case seems to be proven. However, it turns out that every passenger of the allegedly destroyed transport had survived a ship accident a few months earlier, only to coincidentally die in Worf's attack, proving that the appearance of the transport was feigned."
"Hard Time","S04E19","A devastated O'Brien returns from the Argrathi who sentenced him to 20 years in prison - a memory that was implanted into his brain. Dr. Bashir determines that he couldn't remove this memory without erasing O'Brien's brain. The chief engineer keeps hallucinating about his cellmate Ee'char. At one point he ticks off and almost hurts his daughter Molly. O'Brien decides to end the ordeal by putting an end to his life. Bashir finds him in a cargo bay, ready to pull the trigger of a phaser. O'Brien finally reveals his greatest pain that, as a part of his punishment, he is supposed to believe that he killed Ee'char. Dr. Bashir can convince him to undergo a therapy consisting of medication and counseling to overcome these feelings."
"Shattered Mirror","S04E20","Jennifer Sisko appears on Deep Space 9 and takes her ""son"" Jake to where she comes from, the Mirror Universe. When Ben Sisko follows them using a device she left behind, he is welcomed by ""Smiley"" O'Brien and other rebels from that universe who have gained control of Terok Nor. The fleet of the Klingon-Cardassian Alliance led by Regent Worf is approaching the station, while the rebels are working to finish their copy of the Defiant - with the help of Captain Sisko whose son is in their hands. Sisko decides to lead the rebels' attack himself, and the small agile fleet proves successful against the crude warships of the Alliance. When Jennifer Sisko is about to send Jake back to his universe, Intendant Kira, who has been a prisoner of the rebels, steps into their way. Kira points her weapon at Jake, but Jennifer jumps into the line of fire and dies soon after."
"The Muse","S04E21","Lwaxana Troi surprises Odo with the announcement that she is pregnant. The father, her husband Jeyal, is a Tavnian who demands that the boy be raised by him alone until he is 16, according to his people's tradition. In order to help her keep the baby, Odo agrees to marry Lwaxana in a Tavnian ceremony that would automatically invalidate her current marriage. Odo even manages to convince Jeyal of his sincere feelings for Lwaxana as the Tavnian laws demand. In the meantime Jake Sisko has spent a lot of time with a mysterious woman named Onaya who has apparently inspired him to write better than ever. But Onaya is literally sucking out Jake's life in the process. It turns out that she is actually an energy being who lives from neural energy that she drains while stimulating the victim's neural cortex."
"For the Cause","S04E22","While Deep Space 9 is expecting a shipment of industrial replicators for Cardassia, a security inspection reveals that Kasidy Yates, Benjamin Sisko's love interest, may be working for the Maquis. The Defiant secretly pursues Kasidy's freighter Xhosa into the Badlands where it meets with a Maquis ship. When Kasidy is leaving Deep Space 9 for another rendezvous with the Maquis, Sisko is on her heels again, this time to apprehend everyone involved. But the second rendezvous is just a ruse. Back on the station Commander Eddington, who is working for the Maquis, overwhelms Kira, transfers the replicators to a Vulcan freighter and escapes. While Ben has the sad duty to arrest Kasidy, he vows to hunt the traitor Eddington."
"To the Death","S04E23","A Jem'Hadar task force heavily damages the station. When the Defiant pursues them through the wormhole, they run into a disabled Jem'Hadar ship from where the crew rescues six Jem'Hadar, led by Omet'iklan, and one Vorta, Weyoun. The Vorta reveals that the attackers were renegades, and that they are going to repair an Iconian gateway that could give them control over a large number of planets. Starfleet and Weyoun's Vorta form an uneasy alliance. When Worf is attacked by a Jem'Hadar, Omet'iklan executes his man - and he expects Sisko to kill Worf likewise. The captain naturally refuses, and Omet'iklan announces that he would kill Sisko when their alliance is over. During the successful battle against the renegade Jem'Hadar, Sisko saves Omet'iklan life despite everything. The Jem'Hadar leader spares Sisko but kills Weyoun who had kept important information from him."
"The Quickening","S04E24","200 years ago, the Jem'Hadar introduced a terrible plague called the Teplan blight to the Teplans. In its final stage, the ""quickening"", the blight is extremely painful. The alleged healer Tevean actually poisons his patients to relieve them of their pain. Dr. Bashir, however, is determined to help the Teplans cure the disease. Beginning with the pregnant woman Ekoria as a volunteer, he develops what he thinks may be a cure. But the antigen he injects has a disastrous effect because in combination with the radiation of his instruments it only accelerates the quickening. Still, Bashir finds that while Ekoria herself can't be saved, her child was protected by the placenta and has not contracted the disease, so the next generation of Teplans will be healthy again."
"Body Parts","S04E25","Quark returns from Ferenginar with the distressing diagnosis that he has the Dorek syndrome, and only six days left to live. In order to pay off his debts, he decides to put up his remains for bidding on the Ferengi Futures Exchange. After an initially depressing lack of interest someone suddenly places a huge bid of 500 bars, which Quark gladly accepts. But then he receives notice that the diagnosis was wrong. The bidder, however, is Liquidator Brunt, FCA, and he insists on the fulfillment of the contract - otherwise Quark would remain an outcast forever. Quark makes provisions to let Garak execute him when he dreams of the first Grand Nagus Gint who gives him the advice to break the contract. Knowing that the Ferengi will despise him for that, he returns the 500 bars to Brunt, only to learn that his friends on the station are more important than all his other assets. In the meantime, Keiko O'Brien's unborn child had to be transferred into Kira's womb after an accident. Kira moves into the O'Briens' quarters to be close to the family of the child she is now carrying."
"Broken Link","S04E26","Odo is brought to the infirmary because he can't maintain his solid form any longer. When Dr. Bashir is unable to help him, Odo requests to be taken back to his people, the Founders. On the way to their homeworld, the Defiant encounters a Jem'Hadar vessel with a Founder on board who is already waiting for Odo. The Founders have obviously caused the disease to force Odo to return and to be put on trial for killing one of his kind. While the Defiant is in orbit, Garak attempts to fire at the Founders' Great Link on their homeworld, but Worf stops him. Odo is converted by his people to a ""Solid"", more precisely to a human being, as a punishment. Upon their return to Deep Space 9, Odo makes an alarming discovery about something the Great Link was attempting to hide from him: Gowron, who is just on a display declaring war against the Federation, is not a Klingon but a Founder!"
"Apocalypse Rising","S05E01","Sisko, Odo, O'Brien and Worf are surgically altered to infiltrate the Klingon Empire and expose Chancellor Gowron who is a Changeling as Odo suspects. Dukat provides a safe transfer on his Bird-of-Prey and drops them at the Hall of Warriors at Ty'Gokor where they are left to themselves. While installing polaron emitters that would force a Changeling to return to the fluid state, the four officers have to fend off drunk Klingons. Sisko is just about to activate the emitters when his Klingon name is called up to become members of the Order of the Bat'leth. But Martok recognizes Sisko and has him, Odo, O'Brien and Worf arrested. Saying that he had the same suspicion, Martok later leads the four back into the hall where they are supposed to complete their mission and exterminate Gowron. But Odo notices that Gowron, as opposed to Martok, has the honor to challenge Worf to a fight. He exposes Martok as the true Changeling. It was the Founders' intention to deceive Odo in order to seize control of the Klingon Empire. In the wake of these events Gowron agrees to a cease-fire with the Federation, however fragile it would be."
"The Ship","S05E02","A small survey team is on a runabout in the Gamma Quadrant when they discover a crashed Jem'Hadar vessel. While Sisko, Dax, Worf, O'Brien, T'Lor and Muniz are investigating the ship, which is fairly intact but whose crew is dead, another Jem'Hadar ship appears and destroys the runabout. T'Lor and the runabout crew are killed, Muniz is wounded. A female Vorta named Kilana demands that Sisko relinquish the ship, but he refuses. After an assault by a Jem'Hadar secretly beamed into the vessel fails, Kilana lowers her demands and requests just an unspecified item that is aboard, but Sisko doesn't trust her. Muniz dies in an unsuccessful attempt to lift off. It turns out that the valuable item Kilana wanted to have was a Founder, and that his critical condition was the reason for the Jem'Hadar not to openly attack the away team. Now the Founder is dead, and the Jem'Hadar commit mass suicide for their failure. The Defiant arrives to salvage the crashed vessel."
"Looking for par'Mach in All the Wrong Places","S05E03","Worf is captivated by the sight of Grillka, but is angry to learn that she is Quark's ex-wife. Nonetheless he and Dax help the Ferengi with Klingon practices in romantic relationships. Quark is successful, but when Grillka's guard, Thopok, sees the two together, he challenges the Ferengi to a bat'leth duel. Doomed to lose either Grillka or his life, Quark receives Worf's help yet again. Jadzia attaches remote control devices to Quark's body so Worf would be able to effectively fight for him. During the fight the devices fail, and while Worf and Dax are hurrying to repair the system, Quark delivers a lengthy speech about his beloved. With the remote control working again, Quark wins the fight. Worf has him hand out the bat'leth to Grillka, which would retain Thopok's honor. Suddenly recognizing that the fitting woman has been next to him all along, Worf becomes intimate with Jadzia."
"Nor the Battle to the Strong","S05E04","Jake is traveling with Dr. Bashir on a runabout to write an essay about the physician, when they receive a distress call from a Federation colony under attack by the Klingons. With Jake affirming that he could handle the situation and that it would make a good story, Bashir alters the course to aid the colony. Soon Jake finds himself in a makeshift hospital in a cavern, crowded with seriously injured and dying people. When he and Bashir go out to get an emergency generator from the runabout, they come under attack by the Klingons. Jake panics and runs away. He runs into a dying soldier but can't help him. Some time later he finds his way back to the cavern but doesn't talk about his experience. As the Klingons keep advancing, the hospital has to be evacuated. Jake is hiding when Klingons enter the cavern and shoot the last guard. Jake grabs the rifle in panic, fires erratically and accidentally releases an avalanche that stops the Klingon advance. Instead of writing about Bashir, Jake decides to describe his own behavior in the crisis and the thin line between cowardice and courage."
"The Assignment","S05E05","When Keiko O'Brien returns from Bajor, Miles is shocked to learn that his wife's body is possessed by an alien conscience. The entity demands that O'Brien make some modifications to the station's impulse response filters in the subspace communication emitters. O'Brien decides to seek the captain's advice, but the entity demonstrates its power by dropping Keiko from the upper level of the promenade deck. O'Brien carries on with his sabotage and swears Rom to secrecy about it. After evading Odo the two have almost completed the task when Rom explains that the modifications can be used to kill the wormhole aliens, the Bajoran Prophets, with a chroniton beam. O'Brien recognizes that the Pah-wraiths want to eradicate their ancient adversaries. He takes his wife on the runabout and activates the weapon. But instead of the wormhole the beam hits the runabout, and the Pah-wraith is expelled from her body."
"Trials and Tribble-ations","S05E06","Sisko receives two unpleasant visitors: Dulmer and Lucsly from Starfleet's Temporal Investigation. They question him about a recent time travel. Flashback: The Defiant is carrying the Bajoran Orb of Time when Arne Darvin, an old Klingon disguised as a human, uses the device to send the ship more than 100 years to the past. More precisely to the time when the USS Enterprise NCC-1701 was orbiting Deep Space K-7, summoned there to protect a cargo of quadrotriticale. Arne Darvin was present aboard the station and was later, with the help of Tribbles who don't like Klingons, exposed as a Klingon spy who had poisoned the grain. Now he strives to alter history. He has planted a bomb on the station to take revenge on James T. Kirk. The Defiant officers are deployed to find the bomb. Sisko and Dax manage to find it attached to one of the Tribbles in the grain storage just above Kirk's head. The bomb is beamed into space and the original timeline is preserved. The Defiant, however, brought some uninvited guests to the 24th century, as Deep Space 9 is swarming with Tribbles."
"Let He Who Is Without Sin","S05E07","Worf agrees to join Jadzia on a vacation on Risa. Julian Bashir and Leeta travel with them to ""celebrate"" the end of their relationship with a Bajoran ritual. On Risa, Worf is annoyed to learn that a woman named Arandis is Curzon Dax's former lover. Out of jealousy he decides to join the rally of the New Essentialists who turn against the complacency of the Federation. In order to demonstrate how vulnerable everyone would be without technology, Worf sabotages Risa's weather grid, with the result that the planet's climate becomes naturally rainy and stormy for a couple of days. He leaves New Essentialists leader Pascal Fullerton in control of a tricorder that taps into Risa's environmental systems. When Dax and Worf have an argument about the matter, he tells her that he once accidentally killed a boy named Mikel during a soccer match on Gault and that he does not want to indulge himself ever since. Suddenly an earthquake strikes the planet. Worf rushes to snatch the tricorder from Fullerton, who went over the top with his demonstration. Now he and Dax can finally enjoy what's left of their vacation."
"Things Past","S05E08","Returning from a conference on which a ""dispassionate view"" of the Cardassian occupation of Bajor was being discussed, Sisko, Odo, Garak and Dax are found lifeless in their runabout. The unconscious crew wake up on Terok Nor, apparently at a time when Odo's Predecessor Thrax was still on duty, more than nine years ago. After Dax has been taken to Gul Dukat's office, the three men discover that, in this reality, they are three Bajorans named Ishan Chaye, Jillur Gueta and Timor Landi. Odo recalls that these three were falsely accused of attempting to assassinate Gul Dukat and were executed - but this happened at a time when Odo was already the station's head of security. Thrax morphs into a changeling, and Odo is eager to not let it happen again. But in the end the three prisoners are lined up for execution in the presence of Dukat and another Odo, just as it happened seven years ago. The four wake up on Deep Space 9. Dr. Bashir finds out that during a plasma storm Odo's morphogenic enzymes created something like a miniature version of the Great Link with his crewmates, and they relived the event from the past that he still feels guilt about."
"Rapture","S05E10","The Cardassians return an old painting depicting the ancient Bajoran city of B'hala. Sisko is eager to find the site. While he is working in a holosuite to reconstruct an obelisk that could reveal the city's location, he is struck by a discharge from a console. From now on his senses are enhanced, and he manages to finish his work and find B'hala. But he continues to be plagued by headaches and, against Jake's and Kasidy's advice, refuses to be treated. When Bajor's admission to the Federation is going to be signed, Sisko storms into the conference room and demands that it be halted, otherwise Bajor would be destroyed. The captain then collapses, and Jake decides that Dr. Bashir needs to operate his father so he can survive. Bajor abstains from joining the Federation for the time being."
"The Darkness and the Light","S05E11","Three members of Kira's Shakaar resistance cell have been assassinated, each time followed by a message from the culprit to Kira. Her former comrades Lupaza and Furel arrive at the station to aid her. But the two are killed in an explosion. Odo compiles a list of suspects, refusing to give it to the pregnant Kira. However, Kira takes the list and comes to the conclusion that it has to be Silaran Prin. Without anyone's knowledge she takes a runabout to Prin's home but is instantaneously confined in a forcefield upon her arrival. Prin was disfigured in a resistance bombing and now seeks revenge. When Prin thinks she has been sedated, Kira manages to overwhelm and kill him."
"The Begotten","S05E12","While Kira is about to deliver the O'Briens' baby, Odo has adopted a child of his own - an infant Changeling. Dr. Mora Pol, who once worked wit Odo, arrives from Bajor to assist him. But even though he is ordered by Starfleet Command to establish communication with the Changeling as soon as possible, Odo detests Mora's methods of using mild force to teach the shapeshifter. The two finally settle their conflict when their concerted efforts succeeds. However, the celebration doesn't last for long as the young Changeling is dying. As a final gift the Changeling merges with Odo and transforms him back into one of his kind."
"For the Uniform","S05E13","Sisko is going to retrieve information about the former Commander Eddington, who defected to the Maquis, when his contact turns out to be none other than Eddington himself. Eddington sabotages the Defiant with a cascade virus and escapes. Using a compound that is harmless to humans but hazardous to Cardassians, Eddington begins to poison Cardassian colonies. The Defiant now receives support from the USS Malinche, but the Maquis attack and disable the Starfleet ship. When his ship arrives too late to stop another attack on a Cardassian planet, Sisko decides to turn the tables and contaminate a Maquis planet with a chemical that is harmful to humans but not to Cardassians. While the two sides have to switch planets, Eddington turns himself over to the Federation authorities in order to avert a further escalation."
"In Purgatory's Shadow / By Inferno's Light","S05E14-15","Worf and Garak follow a mysterious message that Garak's mentor Enabran Tain seems to have sent from the Gamma Quadrant. On the far side of the wormhole they run into a Dominion fleet, are captured by the Jem'Hadar and taken to a prisoner camp. In the camp they meet Tain and General Martok, as well as another prisoner: Dr. Bashir, who was kidnapped on his way to a conference and replaced with a Changeling a month ago. Tain is about to die when he finally acknowledges Garak, who promises to escape, as his son. Meanwhile on Deep Space 9, the crew, together with the Bashir Changeling, is working on a plan to seal the wormhole. When the Dominion fleet enters the Alpha Quadrant through the wormhole, the ships surprisingly turn about and head for Cardassia. Gul Dukat follows the fleet and announces that Cardassia is now a part of the Dominion, with he himself being their leader. Gowron reinstates the Klingon-Federation treaty against the new common enemy. In the internment camp, Worf almost ceaselessly fights against the Jem'Hadar for the guards' enjoyment, while Garak and Bashir are working for their escape. Although Garak suffers from claustrophobia, he continues to modify the communication system in a narrow crawlspace and beams out Worf from the arena before he is executed. The doctor sends a message to Deep Space 9, warning the crew of the shapeshifter. But the fake Bashir has already taken a runabout, heading straight for the Bajoran sun with an explosive that would cause it to go nova. Dax and Kira take the Defiant and tow away the runabout in the nick of time."
"Dr. Bashir, I Presume","S05E16","Dr. Bashir has been chosen to be the model for Starfleet's latest holographic doctor. Dr. Lewis Zimmerman comes to the station for extensive field studies. Dr. Bashir is uncomfortable when his parents Richard and Amsha Bashir arrive - invited by Zimmerman who is going to examine Bashir's childhood as well. Julian is particularly concerned that the two could reveal a childhood secret that would cost him his career - that he has been genetically enhanced. This is illegal in the Federation. The two later tell their son that they won't let that happen. But they are actually talking to the holographic version, with Zimmerman and O'Brien witnessing the revelation. Dr. Bashir decides to resign before the fateful report is filed. But Sisko arranges an alternative solution to the dilemma. Richard Bashir accepts a two-year sentence, while his son is allowed to remain in service, albeit with a stain on his record."
"A Simple Investigation","S05E17","Odo encounters the attractive Arissa. She tells him that she is about to meet with Tauvid Rem who is going to provide information about a daughter she gave up fifteen years earlier. But when the two enter his quarters, Tauvid has been killed. Arissa admits that she is working as a computer hacker for Draim of the notorious Orion Syndicate but wants to leave the criminal organization. All she still needs is the information stored on Tauvid's data crystal to buy her own life. After spending a night with Arissa, Odo is informed by an Idanian agent that she is actually one of his people who was surgically altered to infiltrate the organization. All memories of her former life were erased and stored on the data crystal. The Idanian and Odo save Arissa when Draim is going to kill her, but he has to let her return to her married life."
"Business as Usual","S05E18","Quark has just realized that he is practically bankrupt when his cousin Gaila proposes him a tempting deal. Quark is supposed to provide his holosuites for weapon demonstrations of the unscrupulous arms dealer Hagath. Quark witnesses how Hagath fires his associate Farrakk and later learns that Hagath killed the man. The deals having become an open secret on the station although the Bajoran Government allows them because Hagath once supplied the Resistance, all his friends turn their backs on Quark. When Hagath is going to sell weapons to the Regent of Palamar, which will result in the death of millions, Quark decides that the deal must not take place. He invites Nassuc to the station to ""accidentally"" encounter his enemy, the Regent of Palamar. While the regent is killed, Hagath and Gaila escape with Nassuc on their heels. Quark, however, has paid off his dues and regained his friends."
"Ties of Blood and Water","S05E19","Tekeny Ghemor, the high-ranking Cardassian who once thought that Kira was his long-missing daughter, appears at the station. He is going to die soon, but not before revealing to his family the secrets he holds. As Ghemor doesn't seem to have any living relatives, he has elected his ""daughter"" Kira. She grudgingly agrees, seeing the opportunity to learn something to be used against the abhorred Cardassian-Dominion alliance. But then Gul Dukat appears and demands Ghemor to be turned over to him. He provides Kira with a military record stating that Ghemor, as a young man, took part in a massacre on Bajor. Kira turns away from Ghemor in disgust, but then remembers how she left her father to die when he needed her most. She joins the Cardassian in his last moments and buries him next to her father."
"Ferengi Love Songs","S05E20","Quark returns to Ferenginar to his mother's home. But Ishka is uneasy because she is secretly romantically involved with Grand Nagus Zek. When Quark discovers the liaison, he is thrilled but hopes in vain that Zek would restore his trade license, which only the FCA can do. Liquidator Brunt of the FCA proposes that Quark break up the relationship between Zek and Ishka to regain his license in return. The plan succeeds and Zek leaves Ishka, with Quark feigning sympathy. He agrees to become Zek's First Clerk and soon recognizes that the economic decisions of the Grand Nagus are disastrous without Ishka's advice. Quark helps Zek to redeem himself in the eyes of the Ferengi society, and he reunites the couple."
"Soldiers of the Empire","S05E21","General Martok assumes command of the Bird-of-Prey Rotarran. He takes Worf and Jadzia on a mission to search and rescue a missing Klingon ship, the B'Moth. But the crew of the Rotarran is war-weary, and Martok's attitude to evade confrontations with the Jem'Hadar only aggravates the depressive mood aboard the Rotarran. When they locate the B'Moth, Martok refuses to enter Cardassian space to save the survivors. Worf challenges Martok to a fight. He allows Martok to defeat him just when he notices that the crew's warrior spirit has been reawakened and a Jem'Hadar vessel is approaching. The Rotarran destroys the enemy ship and rescues 35 crew members from the B'Moth. Martok, grateful for what the son of Mogh has done for him, accepts Worf's entry into the house of Martok."
"Children of Time","S05E22","While the Defiant is investigating an energy barrier around a planet in the Gamma Quadrant, Kira is struck by a plasma discharge. The crew discover a colony on the planet, led by a certain Miranda O'Brien and entirely populated by descendants of the Defiant crew. This is possible because upon their departure from the planet, the Defiant would enter the energy barrier again, would be hurled 200 years to the past and crash land. Trapped on the planet named Gaia, the crew would have to begin a new life and have several generations of children. Yedrin, the current Dax host on Gaia, claims to be working on a plan to duplicate the Defiant of which one would crash and one would make it through the barrier. But he has no hope that it could work, and his actual plan is to let the crash happen in order for his colony to continue to exist. Although Sisko's initial decision was to escape in order to save his first officer and to allow everyone to return to their families, he changes his mind after spending some time with the people on Gaia. He ultimately rules in their favor, with the approval of most of his crew. But the Odo of Gaia, who is still alive and still in love with Kira, changes the ship's course in a way that it would be able to cross the energy barrier unscathed. The people on Gaia cease to exist."
